participant,language,task,word,stop,foll_vowel,type,duration,excl,negvotva,posvotva,
001,en,q2,kind,k,aɪ,POS_VOT,97,,,,
001,en,q2,kept,k,ɛ,POS_VOT,69,,,,
001,en,q2,because,b,i,,,NR,,,
001,en,q2,put,p,ʊ,POS_VOT,60,,,,
001,en,q2,best,b,ɛ,POS_VOT,101,,,,
001,en,q2,kind,k,aɪ,POS_VOT,91,,,,
001,en,q2,poems,p,oʊ,POS_VOT,87,,,,
001,en,q2,to,t,uː,POS_VOT,39,,,,
001,en,q2,to,t,ə,,,NR,,,
001,en,q2,decorated,d,ɛ,,,VA,-110,17,
001,en,q2,because,b,ɪ,,,NR,,,
001,en,q2,community,k,ə,POS_VOT,76,,,,
001,en,q2,but,b,ə,NEG_VOT,-71,,,,at 294 s
001,en,q2,didn't,d,ɪ,NEG_VOT,-51,,,,at 297 s
001,en,q2,connotations,k,ɑ,POS_VOT,77,,,,
001,en,q2,connection,k,ə,POS_VOT,41,,,,
001,en,q2,between,b,i,NEG_VOT,-162,,,,
001,en,q2,days,d,eɪ,NEG_VOT,,NR,,,
001,en,s1,text,t,ɛ,,,NR,,,
001,en,s1,tale,t,eɪ,,,NR,,,
001,en,s1,pig,p,ɪ,POS_VOT,61,,,,
001,en,s1,biggest,b,ɪ,POS_VOT,6,,,,
001,en,s1,by,b,aɪ,POS_VOT,8,,,,
001,en,s1,bit,b,ɪ,,,NR,,,
001,en,s1,panicky,p,æ,POS_VOT,88,,,,
001,en,s1,text,t,ɛ,,,NV,,,
001,en,s1,because,b,ɪ,,,NR,,,
001,en,s1,panic,p,æ,POS_VOT,45,,,,
001,en,s1,told,t,əʊ,POS_VOT,57,,,,
001,en,s1,bird,b,ɜː,POS_VOT,7,,,,
001,en,s1,to,t,ə,POS_VOT,61,,,,
001,en,s1,garden,ɡ,ɑː,NEG_VOT,-33,,,,
001,en,s1,told,t,əʊ,POS_VOT,41,,,,
001,en,s1,coming,k,ʌ,POS_VOT,83,,,,
001,en,s1,to,t,ə,POS_VOT,34,,,,
001,en,s1,do,d,uː,,,NR,,,
001,en,s1,ducky,d,ʌ,POS_VOT,16,,,,
001,en,s1,to,t,ə,POS_VOT,30,,,,
001,en,s1,coordinate,k,ə,POS_VOT,68,,,,
001,en,s1,to,t,ə,POS_VOT,30,,,,
001,en,s1,get,ɡ,ɛ,NEG_VOT,,VA,-55,18,
001,en,s1,bunker,b,ʌ,NEG_VOT,-124,,,,
001,en,s1,turkey,t,ɜː,POS_VOT,79,,,,
001,en,s1,time,t,aɪ,,,NV,,,
001,en,s1,garden,ɡ,ɑː,NEG_VOT,-63,,,,
001,en,r1,day,d,eɪ,,,NR,,,
001,en,r1,pecking,p,ɛ,POS_VOT,40,,,,
001,en,r1,dirt,d,ɜː,POS_VOT,11,,,,
001,en,r1,tasty,t,ɪ,POS_VOT,40,,,,
001,en,r1,dear,d,ɪ,POS_VOT,11,,,,
001,en,r1,disataser,d,ɪ,POS_VOT,16,,,,
001,en,r1,bit,b,ɪ,POS_VOT,9,,,,
001,en,r1,could,k,ʊ,POS_VOT,32,,,,
001,en,r1,bit,b,ɪ,NEG_VOT,-126,,,,
001,en,r1,painful,p,eɪ,,,NR,,,
001,en,r1,bump,b,ʌ,NEG_VOT,-111,,,,
001,en,r1,bit,b,ɛ,NEG_VOT,-82,,,,
001,en,r1,panicked,p,æ,POS_VOT,64,,,,
001,en,r1,ducky,d,ʌ,NEG_VOT,-69,,,,
001,en,r1,doing,d,uː,POS_VOT,15,,,,
001,en,r1,backstroke,b,æ,NEG_VOT,-75,,,,
001,en,r1,pond,p,ɑ,POS_VOT,65,,,,
001,en,r1,get,ɡ,ɛ,NEG_VOT,-36,,,,
001,en,r1,bath,b,ɑː,NEG_VOT,-58,,,,
001,en,r1,calm,k,ɒː,POS_VOT,89,,,,
001,en,r1,ducky,d,ʌ,POS_VOT,17,,,,
001,en,r1,puffing,p,ʌ,,,NR,,,
001,en,r1,time,t,aɪ,POS_VOT,83,,,,
001,en,r1,dog,d,ɑ,POS_VOT,17,,,,
001,en,r1,time,t,aɪ,POS_VOT,99,,,,
001,en,r1,to,t,uː,POS_VOT,56,,,,
001,en,r1,bathe,b,æ,,,NR,,,
001,en,r1,to,t,ə,POS_VOT,19,,,,
001,en,r1,bump,b,ʌ,NEG_VOT,-18,,,,
001,en,r1,ducky,d,ʌ,POS_VOT,22,,,,
001,en,r1,could,k,ʊ,POS_VOT,51,,,,
001,en,r1,boy,b,ɔɪ,NEG_VOT,-68,,,,
001,en,r1,coward,k,aʊ,POS_VOT,62,,,,
001,en,r1,get,g,ɛ,POS_VOT,21,,,,
001,en,r1,come,k,ʌ,POS_VOT,62,,,,at 75 s
001,en,r1,better,b,ɛ,,,NR,,,
001,en,r1,down,d,aʊ,POS_VOT,19,,,,
001,en,r1,path,p,ɑː,POS_VOT,52,,,,
