1,1,26
1,1,16
1,1,15
1,1,10
1,1,18
1,1,20
1,1,19
1,1,27
1,1,21
1,1,23
1,2,50
1,2,14
1,2,17
1,2,7
1,2,12
1,2,22
1,2,13
1,2,20
1,2,18
1,2,8
1,2,14
2,1,17
2,1,13
2,1,14
2,1,28
2,1,16
2,1,30
2,1,28
2,1,32
2,1,21
2,1,37
2,1,29
2,1,18
2,1,32
2,2,32
2,2,32
2,2,29
2,2,21
2,2,17
2,2,20
2,2,17
2,2,19
2,2,13
2,2,26
2,2,29
2,2,15
2,2,16
5,1,12
5,1,18
5,1,17
5,1,22
5,1,21
5,1,15
5,1,17
5,1,15
5,1,37
5,1,29
5,1,17
5,1,14
5,1,19
5,1,35
5,1,24
5,1,33
5,2,31
5,2,17
5,2,13
5,2,21
5,2,16
5,2,29
5,2,32
5,2,18
5,2,28
5,2,29
5,2,22
5,2,21
5,2,18
5,2,23
5,2,15
5,2,14
5,2,13
9,1,7
9,1,26
9,1,15
9,1,20
9,1,12
9,1,18
9,1,25
9,2,12
9,2,33
9,2,10
9,2,12
9,2,28
9,2,23
9,2,20
10,1,12
10,1,15
10,1,19
10,1,10
10,1,13
10,1,11
10,1,17
10,1,8
10,1,13
10,1,21
10,1,22
10,2,27
10,2,10
10,2,23
10,2,27
10,2,17
10,2,21
10,2,19
10,2,21
10,2,12
10,2,10
16,1,26
16,1,30
16,1,28
16,1,20
16,1,21
16,1,22
16,1,16
16,1,45
16,1,31
16,1,24
16,2,20
16,2,39
16,2,24
16,2,22
16,2,27
16,2,30
16,2,23
16,2,21
16,2,27
16,2,22
16,2,17
16,2,26
21,1,17
21,1,23
21,1,9
21,1,21
21,1,16
21,1,9
21,1,24
21,1,8
21,1,10
21,1,18
21,1,18
21,2,20
21,2,14
21,2,15
21,2,16
21,2,13
21,2,19
21,2,20
21,2,30
21,2,10
21,2,15
